0	0	0	0	0	0
256	0	0	222	1	0
512	0	0	437	2	0
768	0	0	654	3	0
1024	0	0	873	4	0
1280	0	0	1092	4	0
1536	0	0	1310	5	0
1792	0	0	1528	4	0
2048	0	0	1746	5	0
2303	0	0	1964	6	0
2559	0	0	2182	7	0
2815	0	0	2413	7	0
3071	0	0	2634	8	0
3327	0	0	2853	9	0
3583	0	0	3077	10	0
3839	0	0	3298	10	0
4095	0	0	3508	11	0
0	256	0	17	243	2
256	256	0	236	244	2
512	256	0	448	244	2
768	256	0	663	244	2
1024	256	0	882	245	2
1280	256	0	1098	245	2
1536	256	0	1312	246	2
1792	256	0	1527	245	2
2048	256	0	1741	246	3
2303	256	0	1956	246	3
2559	256	0	2172	248	2
2815	256	0	2397	248	2
3071	256	0	2622	249	2
3327	256	0	2838	250	1
3583	256	0	3060	249	1
3839	256	0	3277	251	1
4095	256	0	3483	252	2
0	512	0	32	480	4
256	512	0	250	479	4
512	512	0	464	480	4
768	512	0	680	481	4
1024	512	0	900	480	4
1280	512	0	1116	480	4
1536	512	0	1330	479	4
1792	512	0	1544	479	4
2048	512	0	1759	478	4
2303	512	0	1977	480	4
2559	512	0	2190	481	4
2815	512	0	2421	482	4
3071	512	0	2644	481	4
3327	512	0	2863	482	4
3583	512	0	3088	483	4
3839	512	0	3305	485	3
4095	512	0	3506	486	3
0	768	0	48	722	7
256	768	0	266	719	6
512	768	0	479	721	6
768	768	0	696	720	6
1024	768	0	914	718	6
1280	768	0	1128	717	6
1536	768	0	1344	717	6
1792	768	0	1561	717	6
2048	768	0	1779	719	6
2303	768	0	1993	720	6
2559	768	0	2210	722	6
2815	768	0	2440	721	6
3071	768	0	2662	721	6
3327	768	0	2880	722	6
3583	768	0	3098	722	6
3839	768	0	3309	722	6
4095	768	0	3514	724	6
0	1024	0	64	966	9
256	1024	0	281	964	9
512	1024	0	494	965	9
768	1024	0	708	962	8
1024	1024	0	930	963	8
1280	1024	0	1143	962	8
1536	1024	0	1361	962	8
1792	1024	0	1579	964	8
2048	1024	0	1797	966	8
2303	1024	0	2010	967	8
2559	1024	0	2225	967	8
2815	1024	0	2454	966	8
3071	1024	0	2672	964	8
3327	1024	0	2888	964	8
3583	1024	0	3117	966	8
3839	1024	0	3328	969	8
4095	1024	0	3535	972	8
0	1280	0	79	1208	10
256	1280	0	295	1204	10
512	1280	0	508	1206	10
768	1280	0	726	1206	10
1024	1280	0	945	1207	10
1280	1280	0	1160	1208	10
1536	1280	0	1377	1208	10
1792	1280	0	1593	1207	10
2048	1280	0	1810	1208	10
2303	1280	0	2025	1209	10
2559	1280	0	2240	1209	10
2815	1280	0	2466	1206	10
3071	1280	0	2688	1207	10
3327	1280	0	2906	1208	10
3583	1280	0	3134	1210	10
3839	1280	0	3343	1213	10
4095	1280	0	3550	1215	9
0	1536	0	96	1452	12
256	1536	0	310	1447	12
512	1536	0	523	1446	12
768	1536	0	740	1448	12
1024	1536	0	962	1450	12
1280	1536	0	1176	1452	12
1536	1536	0	1395	1453	12
1792	1536	0	1612	1452	12
2048	1536	0	1830	1455	12
2303	1536	0	2043	1456	12
2559	1536	0	2258	1454	12
2815	1536	0	2488	1453	12
3071	1536	0	2708	1454	12
3327	1536	0	2926	1454	12
3583	1536	0	3156	1457	12
3839	1536	0	3363	1459	11
4095	1536	0	3569	1460	12
0	1792	0	112	1695	14
256	1792	0	326	1688	14
512	1792	0	540	1687	14
768	1792	0	758	1689	14
1024	1792	0	979	1693	14
1280	1792	0	1192	1695	14
1536	1792	0	1414	1696	14
1792	1792	0	1631	1698	14
2048	1792	0	1846	1696	14
2303	1792	0	2057	1695	14
2559	1792	0	2278	1695	14
2815	1792	0	2507	1696	13
3071	1792	0	2729	1698	13
3327	1792	0	2949	1700	12
3583	1792	0	3175	1700	12
3839	1792	0	3382	1706	12
4095	1792	0	3595	1710	13
0	2048	0	127	1932	16
256	2048	0	342	1924	16
512	2048	0	555	1926	16
768	2048	0	774	1928	16
1024	2048	0	994	1934	16
1280	2048	0	1210	1938	16
1536	2048	0	1430	1938	15
1792	2048	0	1645	1934	15
2048	2048	0	1862	1934	15
2303	2048	0	2076	1934	15
2559	2048	0	2298	1936	15
2815	2048	0	2528	1937	15
3071	2048	0	2749	1938	15
3327	2048	0	2969	1939	15
3583	2048	0	3194	1942	15
3839	2048	0	3405	1948	15
4095	2048	0	3614	1951	14
0	2303	0	144	2170	18
256	2303	0	357	2165	18
512	2303	0	572	2170	18
768	2303	0	790	2172	18
1024	2303	0	1008	2175	18
1280	2303	0	1224	2180	17
1536	2303	0	1448	2183	17
1792	2303	0	1664	2178	17
2048	2303	0	1880	2177	17
2303	2303	0	2092	2178	17
2559	2303	0	2319	2182	17
2815	2303	0	2549	2184	17
3071	2303	0	2771	2185	17
3327	2303	0	2991	2186	17
3583	2303	0	3216	2186	17
3839	2303	0	3422	2193	17
4095	2303	0	3632	2194	17
0	2559	0	159	2425	20
256	2559	0	374	2420	20
512	2559	0	587	2424	20
768	2559	0	806	2424	20
1024	2559	0	1024	2428	20
1280	2559	0	1241	2431	19
1536	2559	0	1461	2431	19
1792	2559	0	1678	2431	19
2048	2559	0	1895	2434	19
2303	2559	0	2111	2438	19
2559	2559	0	2338	2440	19
2815	2559	0	2566	2440	19
3071	2559	0	2788	2442	19
3327	2559	0	3009	2445	19
3583	2559	0	3234	2447	19
3839	2559	0	3437	2450	19
4095	2559	0	3646	2452	19
0	2815	0	176	2665	22
256	2815	0	389	2661	22
512	2815	0	604	2665	22
768	2815	0	824	2668	22
1024	2815	0	1042	2670	22
1280	2815	0	1257	2669	22
1536	2815	0	1475	2668	22
1792	2815	0	1693	2670	22
2048	2815	0	1912	2673	21
2303	2815	0	2127	2675	21
2559	2815	0	2355	2677	21
2815	2815	0	2584	2680	21
3071	2815	0	2806	2682	21
3327	2815	0	3025	2682	21
3583	2815	0	3249	2687	21
3839	2815	0	3449	2685	21
4095	2815	0	3662	2691	21
0	3071	0	192	2905	24
256	3071	0	404	2903	24
512	3071	0	620	2908	24
768	3071	0	839	2912	24
1024	3071	0	1058	2912	24
1280	3071	0	1271	2908	24
1536	3071	0	1490	2911	24
1792	3071	0	1712	2919	24
2048	3071	0	1930	2920	24
2303	3071	0	2146	2927	24
2559	3071	0	2375	2929	24
2815	3071	0	2603	2931	24
3071	3071	0	2826	2932	23
3327	3071	0	3047	2934	23
3583	3071	0	3270	2938	23
3839	3071	0	3472	2939	23
4095	3071	0	3682	2943	23
0	3327	0	208	3156	26
256	3327	0	422	3155	26
512	3327	0	636	3156	26
768	3327	0	856	3158	26
1024	3327	0	1074	3160	26
1280	3327	0	1290	3158	26
1536	3327	0	1510	3160	26
1792	3327	0	1731	3168	26
2048	3327	0	1950	3173	26
2303	3327	0	2166	3175	26
2559	3327	0	2398	3179	26
2815	3327	0	2624	3180	25
3071	3327	0	2846	3180	25
3327	3327	0	3067	3180	25
3583	3327	0	3285	3181	25
3839	3327	0	3490	3186	24
4095	3327	0	3703	3192	24
0	3583	0	225	3383	28
256	3583	0	439	3387	28
512	3583	0	655	3389	28
768	3583	0	874	3386	28
1024	3583	0	1090	3384	28
1280	3583	0	1309	3387	28
1536	3583	0	1528	3390	28
1792	3583	0	1748	3397	28
2048	3583	0	1972	3406	28
2303	3583	0	2185	3407	28
2559	3583	0	2418	3407	28
2815	3583	0	2645	3411	28
3071	3583	0	2866	3412	28
3327	3583	0	3087	3412	27
3583	3583	0	3301	3412	27
3839	3583	0	3508	3416	27
4095	3583	0	3721	3422	27
0	3839	0	241	3617	30
256	3839	0	455	3625	30
512	3839	0	672	3628	30
768	3839	0	891	3625	30
1024	3839	0	1108	3622	30
1280	3839	0	1326	3626	30
1536	3839	0	1547	3632	30
1792	3839	0	1768	3636	30
2048	3839	0	1990	3644	30
2303	3839	0	2204	3648	30
2559	3839	0	2440	3648	29
2815	3839	0	2670	3654	29
3071	3839	0	2888	3653	29
3327	3839	0	3109	3654	29
3583	3839	0	3328	3659	29
3839	3839	0	3536	3664	29
4095	3839	0	3754	3672	29
0	4095	0	259	3864	32
256	4095	0	472	3867	32
512	4095	0	688	3866	32
768	4095	0	909	3864	32
1024	4095	0	1126	3864	32
1280	4095	0	1346	3869	32
1536	4095	0	1568	3877	32
1792	4095	0	1791	3884	31
2048	4095	0	2010	3889	31
2303	4095	0	2226	3893	31
2559	4095	0	2464	3897	31
2815	4095	0	2688	3894	31
3071	4095	0	2908	3896	31
3327	4095	0	3134	3903	31
3583	4095	0	3352	3909	31
3839	4095	0	3563	3915	31
4095	4095	0	3781	3922	31
0	0	256	13	1	224
256	0	256	233	3	224
512	0	256	448	4	223
768	0	256	663	4	223
1024	0	256	879	4	221
1280	0	256	1093	6	222
1536	0	256	1310	6	221
1792	0	256	1529	7	221
2048	0	256	1746	7	221
2303	0	256	1963	8	220
2559	0	256	2176	9	220
2815	0	256	2404	10	221
3071	0	256	2630	10	220
3327	0	256	2848	11	220
3583	0	256	3070	12	220
3839	0	256	3285	12	220
4095	0	256	3490	12	221
0	256	256	28	247	229
256	256	256	252	250	226
512	256	256	466	248	226
768	256	256	682	249	228
1024	256	256	900	248	227
1280	256	256	1114	249	226
1536	256	256	1330	250	224
1792	256	256	1546	249	224
2048	256	256	1760	250	223
2303	256	256	1970	250	222
2559	256	256	2185	251	222
2815	256	256	2412	250	222
3071	256	256	2632	250	221
3327	256	256	2848	251	220
3583	256	256	3070	252	220
3839	256	256	3282	252	221
4095	256	256	3486	253	221
0	512	256	44	485	232
256	512	256	266	487	234
512	512	256	481	488	234
768	512	256	698	487	232
1024	512	256	917	487	229
1280	512	256	1130	485	229
1536	512	256	1347	486	228
1792	512	256	1564	485	226
2048	512	256	1776	483	226
2303	512	256	1990	484	225
2559	512	256	2202	484	224
2815	512	256	2433	484	224
3071	512	256	2651	483	223
3327	512	256	2868	483	223
3583	512	256	3091	485	222
3839	512	256	3302	486	222
4095	512	256	3505	486	223
0	768	256	60	727	233
256	768	256	281	726	234
512	768	256	496	729	234
768	768	256	713	729	234
1024	768	256	934	728	232
1280	768	256	1146	726	231
1536	768	256	1361	724	230
1792	768	256	1576	724	229
2048	768	256	1794	723	227
2303	768	256	2006	724	227
2559	768	256	2222	724	226
2815	768	256	2451	725	226
3071	768	256	2670	723	226
3327	768	256	2889	724	226
3583	768	256	3110	726	225
3839	768	256	3314	724	224
4095	768	256	3514	723	224
0	1024	256	76	976	235
256	1024	256	296	975	234
512	1024	256	511	977	234
768	1024	256	729	976	234
1024	1024	256	950	975	234
1280	1024	256	1163	974	233
1536	1024	256	1380	974	232
1792	1024	256	1597	974	230
2048	1024	256	1812	974	230
2303	1024	256	2024	972	229
2559	1024	256	2240	972	228
2815	1024	256	2468	971	228
3071	1024	256	2687	970	228
3327	1024	256	2898	967	227
3583	1024	256	3119	969	227
3839	1024	256	3326	969	227
4095	1024	256	3534	971	226
0	1280	256	92	1218	237
256	1280	256	310	1219	236
512	1280	256	524	1219	236
768	1280	256	742	1218	236
1024	1280	256	963	1216	236
1280	1280	256	1175	1217	234
1536	1280	256	1394	1216	234
1792	1280	256	1611	1216	234
2048	1280	256	1827	1216	232
2303	1280	256	2041	1217	232
2559	1280	256	2259	1217	231
2815	1280	256	2486	1215	230
3071	1280	256	2700	1212	229
3327	1280	256	2912	1210	228
3583	1280	256	3136	1211	228
3839	1280	256	3343	1212	228
4095	1280	256	3550	1215	228
0	1536	256	109	1462	238
256	1536	256	326	1462	238
512	1536	256	540	1463	237
768	1536	256	758	1460	236
1024	1536	256	978	1460	236
1280	1536	256	1192	1462	235
1536	1536	256	1414	1462	235
1792	1536	256	1623	1458	234
2048	1536	256	1841	1460	233
2303	1536	256	2058	1464	234
2559	1536	256	2276	1463	234
2815	1536	256	2499	1458	233
3071	1536	256	2717	1455	231
3327	1536	256	2933	1455	231
3583	1536	256	3160	1458	230
3839	1536	256	3360	1458	230
4095	1536	256	3570	1461	230
0	1792	256	124	1705	240
256	1792	256	341	1701	239
512	1792	256	554	1700	238
768	1792	256	773	1699	236
1024	1792	256	992	1702	236
1280	1792	256	1205	1703	236
1536	1792	256	1427	1704	236
1792	1792	256	1644	1704	236
2048	1792	256	1861	1706	234
2303	1792	256	2070	1703	235
2559	1792	256	2288	1699	236
2815	1792	256	2514	1698	233
3071	1792	256	2737	1698	232
3327	1792	256	2952	1698	232
3583	1792	256	3177	1700	232
3839	1792	256	3378	1700	232
4095	1792	256	3587	1704	232
0	2048	256	141	1943	243
256	2048	256	357	1937	240
512	2048	256	570	1934	239
768	2048	256	789	1935	238
1024	2048	256	1008	1940	238
1280	2048	256	1222	1944	237
1536	2048	256	1441	1942	237
1792	2048	256	1659	1940	237
2048	2048	256	1873	1938	238
2303	2048	256	2085	1938	238
2559	2048	256	2308	1938	236
2815	2048	256	2536	1938	235
3071	2048	256	2754	1938	235
